Date,region,item_id,priceMean,priceSD,regionDesc,country,name
2003-02-01,9,310109,1.976863,0.2422931,North West,England,Lager
2003-02-01,11,310109,2.011429,0.2073713,Wales,Wales,Lager
2003-02-01,8,310109,2.014444,0.2422094,Yorkshire & Humber,England,Lager
2003-02-01,12,310109,2.030976,0.2519703,Scotland,Scotland,Lager
2003-02-01,3,310109,2.284675,0.2096148,South East,England,Lager
2003-02-01,2,310109,2.335438,0.3564311,London,England,Lager
2003-02-01,4,310109,2.160263,0.2393515,South West,England,Lager
2003-02-01,13,310109,2.117368,0.2052057,Northern Ireland,Northern Ireland,Lager
2003-02-01,6,310109,2.065946,0.2210136,East Midlands,England,Lager
2003-02-01,5,310109,2.154595,0.1770059,East Anglia,England,Lager
2003-02-01,7,310109,2.120975,0.1985549,West Midlands,England,Lager
2003-02-01,10,310109,1.960909,0.2631116,North,England,Lager
2003-03-01,11,310109,2.052381,0.1399609,Wales,Wales,Lager
2003-03-01,5,310109,2.208649,0.1810795,East Anglia,England,Lager
2003-03-01,2,310109,2.347091,0.3598645,London,England,Lager
2003-03-01,7,310109,2.152703,0.1878482,West Midlands,England,Lager
2003-03-01,12,310109,2.0565,0.2426092,Scotland,Scotland,Lager
2003-03-01,6,310109,2.084445,0.2277899,East Midlands,England,Lager
2003-03-01,8,310109,2.051944,0.2417533,Yorkshire & Humber,England,Lager
2003-03-01,4,310109,2.157561,0.2123533,South West,England,Lager
2003-03-01,13,310109,2.121111,0.211184,Northern Ireland,Northern Ireland,Lager
2003-03-01,10,310109,1.994783,0.2611316,North,England,Lager
2003-03-01,3,310109,2.307808,0.1988805,South East,England,Lager
2003-03-01,9,310109,1.994231,0.249889,North West,England,Lager
2003-04-01,9,310109,2.016727,0.221903,North West,England,Lager
2003-04-01,5,310109,2.233095,0.1785509,East Anglia,England,Lager
2003-04-01,3,310109,2.312025,0.2217667,South East,England,Lager
2003-04-01,6,310109,2.097692,0.2152411,East Midlands,England,Lager
2003-04-01,2,310109,2.356885,0.3532494,London,England,Lager
